0,MT0002
1,MT0036
2,MT0008
3,MT0016
4,MT0025
5,MT0017
6,MT0020
7,MT0021
8,MT0022
9,MT0001
10,MT0023
11,MT0026
12,MT0027
13,MT0024
14,MT0013
15,MT0014
16,MT0012
17,MT0003
18,MT0015
19,MT0011
20,MT0009
21,MT0028
22,MT0029
23,MT0033
24,MT0034
25,MT0031
26,MT0030
27,MT0004
28,MT0010
29,MT0018
30,MT0019
31,MT0032

19,20,0.010959
19,15,0.010959
19,30,0.010959
19,29,0.010959
17,21,0.003653
28,14,0.010959
28,16,0.005479
28,18,0.005479
28,22,0.001826
28,29,0.005479
28,31,0.001350
31,25,0.009779
25,26,0.001826
25,31,0.009779
21,25,0.005479
4,1,0.002192
5,3,0.010959
5,12,0.003653
10,1,0.002192
8,12,0.010959
9,10,0.002739
9,12,0.002192
9,6,0.003653
9,7,0.003653
9,2,0.010959
9,1,0.001218
9,5,0.005479
9,4,0.002739
20,19,0.010959
15,19,0.010959
30,19,0.010959
29,19,0.010959
21,17,0.003653
14,28,0.010959
16,28,0.005479
18,28,0.005479
22,28,0.001826
29,28,0.005479
31,28,0.001350
25,31,0.009779
26,25,0.001826
31,25,0.009779
25,21,0.005479
1,4,0.002192
3,5,0.010959
12,5,0.003653
1,10,0.002192
12,8,0.010959
10,9,0.002739
12,9,0.002192
6,9,0.003653
7,9,0.003653
2,9,0.010959
1,9,0.001218
5,9,0.005479
4,9,0.002739
